1 galaxy  n.星系,银河,一群显赫的人,一系列光彩夺目的东西                
81 hop  v.单脚跳,(鸟,蛙等)跳跃;n.蛇麻草                
82 hose  n.软管,水龙带,长筒袜;v.用软管浇水                
83 hospitality  n.好客,宜人,盛情                
84 hostage  n.人质,抵押品                
85 hostile  adj.敌对的,敌方的;n.敌对                
86 hound  n.猎犬;vt.带猎犬狩猎,卑鄙的人,追捕,激励,使追逐                
87 household  n.一家人,家庭,家族,王室;adj.家庭的,家族的,家属的,普通的,平常的              
88 hover  v.盘旋                
89 howl  v.嚎叫,怒吼,嚎啕大哭,喝住,号叫;n.嚎叫,怒号,嚎哭                
90 huddle  v.拥挤,卷缩,草率从事,挤作一团;n.杂乱的一堆,拥挤                
91 hug  n.拥抱                
92 hum  v.嗡嗡叫,哼;n.嗡嗡声,吵杂声                
93 humanity  n.人性,人类,博爱,仁慈                
94 humble  adj.卑下的,微贱的,谦逊的,粗陋的;vt.使...卑下,挫,贬抑                
95 humidity  n.湿气,潮湿,湿度<美>沼泽中的肥沃高地                
96 hurl  n.<俚>[棒球]用力或猛烈的投掷;vt.用力投掷,愤慨地说出,丢下,推翻;vi.猛投,猛掷              
97 hurricane  n.飓风,狂风                
98 hypothesis  n.假设                
99 hysterical  a歇斯底里的,异常兴奋的                
100 ideal  n.理想;adj.理想的,完美的,想象的,观念的,唯心论的                
101 identical  adj.同一的,同样的                
102 identificatio  n.辨认,鉴定,证明,视为同一                
103 identify  vt.识别,鉴别,把...和...看成一样;v.确定                
104 ideology  n.意识形态                
105 idiom  n.成语,方言,土语,习惯用语                
106 idiot  n.白痴,愚人,傻瓜                
107 ignite  v.点火,点燃                
108 ignore  vt.不理睬,忽视,[律](因证据不足而)驳回诉讼                
109 illegal  adj.违法的,不合规定的                
110 illuminate  vt.照明,照亮,阐明,说明,使灿烂,以灯火装饰(街道等);vi.照亮                
111 illusion  n.幻想                
112 illustrate  vt.举例说明,图解,加插图于,阐明;vi.举例                
113 imaginary  adj.假想的,想象的,虚构的                
114 imaginative  adj.想象的,虚构的                
115 imitate  vt.模仿,仿效,仿制,仿造;v.模仿                
116 imitation  n.模仿,效法,冒充,赝品,仿造物                
117 immerse  vt.沉浸,使陷入                
118 immigrant  adj.(从外国)移来的,移民的,移居的;n.移民,侨民                
119 immune  adj.免疫的                
120 impact  n.碰撞,冲击,冲突,影响,效果;vt.挤入,撞击,压紧,对...发生影响                
121 impair  v.削弱                
122 impart  vt.给予(尤指抽象事物),传授,告知,透露                
123 impatient  adj.不耐烦的,急躁的,不耐心的                
124 imperative  n.命令,诫命,需要,规则,祈使语气;adj.命令的,强制的,紧急的,必要的,势在必行的,[语法]祈使的            
125 imperial  adj.皇帝的                
126 impetus  n.推动力,促进                
127 implement  n.工具,器具;vt.贯彻,实现;v.执行                
128 implication  n.牵连,含意,暗示                
129 implicit  adj.暗示的,盲从的,含蓄的,固有的,不怀疑的,绝对的                
130 imply  vt.暗示,意味                
131 impose  vt.征税,强加,以...欺骗;vi.利用,欺骗,施影响                
132 impulse  n.推动,刺激,冲动,推动力;vt.推动                
133 inaugurate  vt.举行就职典礼,创新,开辟,举行开幕(落成、成立)典礼.                
134 incentive  n.动机;adj.激励的                
135 incidence  n.落下的方式,影响范围,[物理]入射                
136 incident  n.事件,事变;adj.附带的,易于发生的                
137 incidentally  adv.附带地,顺便提及                
138 incline  n.倾斜,斜坡,斜面;vt.使倾向于,使倾斜;vi.倾向,倾斜                
139 inclusive  adj.包含的,包括的                
140 incorporate  adj.合并的,结社的,一体化的;vt.合并,使组成公司,具体表现;vi.合并,混合,组成公司;vt.[律]结社,成为法人组织          
141 incredible  adj.<口>难以置信的                
142 incur  v.招致                
143 indefinite  adj.模糊的,不确定的,[语]不定的                
144 independence  n.独立,自主                
145 indicative  adj.(～of)指示的,预示的,可表示的                
146 indifferent  adj.无关紧要的                
147 indignant  adj.愤怒的,愤慨的                
148 indignation  n.愤慨,义愤                
149 indispensable  n.不可缺少之物;adj.不可缺少的,绝对必要的                
150 individual  n.个人,个体;adj.个别的,单独的,个人的                
151 induce  vt.劝诱,促使,导致,引起,感应                
152 indulge  v.纵容                
153 industrial  adj.工业的,产业的,实业的,从事工业的;n.工业工人,[商]工业股票                
154 inertia  n.惯性,惯量                
155 inevitable  adj.不可避免的,必然的                
156 infant  n.婴儿,幼儿;adj.婴儿的,幼稚的                
157 infectious  adj.有传染性的,易传染的,有感染力的                
158 inferior  adj.下等的,下级的,差的,次的,自卑的,劣等的                
159 infinite  n.无限的东西(如空间、时间),[数]无穷大;adj.无穷的,无限的,无数的,极大的              
160 inflict  v.造成                
161 ingenious  adj.机灵的,有独创性的,精制的,具有创造才能                
162 ingredient  n.成分,因素                
163 inhabit  vt.居住于,存在于,占据,栖息                
164 inhabitant  n.居民,居住者                
165 inherent  adj.固有的,内在的,与生俱来的                
166 inherit  vt.继承,遗传而得                
167 inhibit  抑制,约束,[化][医]抑制                
168 initial  adj.最初的,词首的,初始的;n.词首大写字母                
169 initiate  vt.开始,发动,传授;v.开始,发起                
170 initiative  n.主动                
171 inject  vt.注射,注入                
172 inland  adj.内陆的,国内的;adv.在内地,向内地;n.内地                
173 inlet  n.进口,入口,水湾,小港,插入物                
174 innovation  n.改革,创新                
175 innumerable  adj.无数的,数不清的                
176 input  n.输入;v.输入                
177 insane  adj.患精神病的,精神病患者的,极愚蠢的                
178 insect  n.昆虫,卑鄙的人;adj..虫的,虫子一样的,对付虫子的                
179 insert  vt.插入,嵌入;n.插入物                
180 insight  n.洞察力,见识                
181 insist  v.坚持,强调                
182 inspiration  n.灵感                
183 inspire  vt.吸(气),鼓舞,感动,激发,启示,使生灵感,产生;vi.吸入,赋予灵感              
184 install  vt.安装,安置,使就职                
185 installment  n.部分                
186 instance  n.实例,建议,要求,情况,场合;vt.举...为例,获得例证                
187 instantaneous  adj.瞬间的,即刻的,即时的                
188 instinct  n.本能                
189 institute  n.学会,学院,协会;vt.创立,开始,制定,开始(调查),提起(诉讼)                
190 institution  n.公共机构,协会,制度                
191 instruct  vt.教,教导,命令,指示,通知                
192 instrument  n.工具,手段,器械,器具,手段                
193 instrumental  adj.仪器的,器械的,乐器的                
194 insulate  vt.使绝缘,隔离                
195 insurance  n.保险,保险单,保险业,保险费                
196 intact  adj.完整无缺的,尚未被人碰过的,(女子)保持童贞的,(家畜)未经阉割的              
197 integral  adj.完整的,整体的,[数学]积分的,构成整体所需要的;n.[数学]积分,完整,部分              
198 integrity  n.正直,诚实,完整,完全,完整性                
199 intellect  n.智力                
200 intellectual  adj.智力的,有智力的,显示智力的;n.知识分子                
201 intelligent  adj.聪明的,伶俐的,有才智的,[计]智能的                
202 intelligible  adj.可理解的                
203 intense  adj.强烈的,剧烈的,热切的,热情的,激烈的                
204 intensify  vt.加强;vi.强化                
205 intensive  adj.强烈的,精深的,透彻的,[语法]加强语气的;n.加强器                
206 intent  n.意图,目的,意向,[律](犯罪或侵权行为的)故意;adj.专心的,决心的,热心的              
207 interact  vi.互相作用,互相影响                
208 interaction  n.交互作用,交感                
209 intercourse  n.交往,交流                
210 interfere  vi.干涉,干预,妨碍,打扰                
211 interim  adj.中间的,临时的,间歇的;n.中间时期,过渡时期,暂定                
212 intermittent  adj.间歇的,断断续续的                
213 internal  adj.内在的,国内的                
214 interpret  v.解释,说明,口译,通译,认为是...的意思                
215 interrupt  vt.打断(在说话或动作人),中断,妨碍,插嘴;vi.打断(别人的话或行动);n.(发给电脑的)中断信号            
216 intersection  n.[数]交集,十字路口,交叉点                
217 intervene  vi.干涉,干预,插入,介入,(指时间)介于其间;v.干涉                
218 intimate  adj.亲密的,隐私的;vt.宣布,明白表示;n.熟友                
219 intimidate  v.胁迫                
220 intricate  adj.复杂的,错综的,难以理解的                
221 intrigue  n.阴谋,诡计;vi.密谋,私通;vt.激起...的兴趣,用诡计取得                
222 intrinsic  adj.(指价值、性质)固有的,内在的,本质的                
223 intuition  n.直觉,直觉的知识                
224 invalid  n.病人,残废者;adj.有病的,残废的                
225 invaluable  adj.无价的,价值无法衡量的                
226 invariably  adv.不变地,总是;n.总是                
227 inventory  n.详细目录,存货,财产清册,总量                
228 invert  adj.转化的;vt.使颠倒,使转化;n.颠倒的事物                
229 invest  v.投(资),购买(有用之物)～,授予,投资                
230 investigate  v.调查,研究                
231 invisible  adj.看不见的,无形的                
232 involve  vt.包括,笼罩,潜心于,使陷于                
233 irony  n.反话,讽刺,讽刺之事                
234 irrespective  adj.不顾的,不考虑的,无关的                
235 irrigation  n.灌溉,冲洗                
236 irritate  vt.激怒,使急躁;v.刺激                
237 isle  n.小岛,岛;vt.使成为岛屿;vi.住在岛屿上                
238 isolate  vt.使隔离,使孤立,使绝缘,离析;n.隔离种群                
239 issue  n.出版,发行,论点,问题,结果,(水血)流出;vi.发行,流出,造成...结果,辩护,传下;vt.使流出,放出,发钞,发令,出书;[律]子女,后嗣        
240 item  n.(可分类或列举的)项目,条款,(消息、情报等的)一则,一条                
241 ivory  n.象牙                
242 jeopardize  v.危害                
243 jerk  n.性情古怪的人,急推,猛拉,肌肉抽搐,(生理)反射,牛肉干;vi.痉挛,急拉,颠簸地行进;vt.猛拉            
244 jog  n.轻推,轻撞,漫步;v.轻推,(使)蹒跚行进,(使)慢跑                
245 junction  n.连接,接合,交叉点,汇合处                
246 junk  n.垃圾,舢板                
247 jury  n.[律]陪审团,评判委员会,陪审员;adj.[海]临时应急的                
248 keen  adj.锋利的,敏锐的,敏捷的,热心的,渴望的                
249 kidnap  vt.诱拐(小孩),绑架,勒赎                
250 kidney  n.肾,(动物可食用的)腰子,个性,性格                
251 kit  n.成套工具,用具包,工具箱,成套用具                
252 knit  v.编织,密接,结合                
253 knob  n.(门,抽屉等的)球形捏手,节,瘤,旋钮,球形突出物,(煤,砂糖等的)小块;vt.使有球形突出物;vi.鼓起            
254 label  n.标签,签条,商标,标志;vt.贴标签于,指...为,分类,标注;[计]加上或修改磁盘的标签            
255 lace  n.饰带,花边,缎带,鞋带;vt.扎带子,扎,饰以花边;vi.缚带子                
256 lame  adj.跛足的,僵痛的,不完全的,金属薄片,不知内情的人,(辩解、论据等)无说服力的;vi.变跛,瘸行;vt.使成残废          
257 lane  n.（乡间）小路,巷,里弄,狭窄的通道,航线                
258 lash  n.鞭子,鞭打,睫毛,责骂,讽刺;vt.鞭打,摆动,扎捆,冲击,煽动,讽刺;vi.猛击,急速甩动            
259 latent  adj.潜在的,潜伏的,隐藏的;n.隐约的指印                
260 latitude  n.纬度,范围,(用复数)地区,行动或言论的自由(范围)                
261 layer  n.层,阶层                
262 layman  n.外行                
263 leaflet  n.小叶,传单                
264 lease  n.租借,租约,租赁物,租期,延续的一段时间;vt.出租,租出,租得                
265 leather  n.皮革,皮革制品                
266 legal  adj.法律的,法定的,合法                
267 legend  n.传说,伟人传,图例;联想集团，中国最大的国有品牌微机制造商之一              
268 legislation  n.立法,法律的制定(或通过)                
269 legitimate  adj.合法的,合理的,正统的;v.合法                
270 leisure  n.空闲,闲暇,悠闲,安逸                
271 lens  n.透镜,镜头                
272 lever  n.杆,杠杆,控制杆;v.抬起                
273 levy  n.征收,征税,征兵;v.征收,征集,征用                
274 liability  n.责任,义务,倾向,债务,负债,与assets相对                
275 liable  adj.有责任的,有义务的,易...的,有...倾向的,负有责任的,很有可能的              
276 liberal  n.自由主义者,(尤指英国、加拿大等国的);adj.慷慨的,不拘泥的,宽大的,自由主义的            
277 lieutenant  n.陆军中尉,海军上尉,副职官员                
278 likelihood  n.可能,可能性                
279 limb  n.肢,翼,分支                
280 limitation  n.限制,局限性                
281 limp  adj.柔软的,易曲的;vi.跛行                
282 linear  adj.线的,直线的,线性的                
283 linen  n.亚麻布,亚麻制品,亚麻纤维制成的优质纸;adj.亚麻布制的,亚麻的                
284 liner  n.<美>班机,划线者,衬垫                
285 linger  v.逗留,闲荡,拖延,游移                
286 literacy  n.有文化，有教养，有读写能力                
287 literal  adj.文字的,照字面上的,无夸张的                
288 literary  adj.文学(上)的,从事写作的,文艺的,精通文学的,书本的                
289 literature  n.文学(作品),文艺,著作,文献                
290 litter  n.垃圾,(供动物睡眠或防冻用的)干草,树叶,(一)窝,轿,担架;vt.乱丢,铺草,弄乱;vi.产仔,乱丢垃圾            
291 locality  n.位置,地点                
292 locomotive  n.机车,火车头;adj.运动的                
293 lofty  adj.高高的,崇高的,高傲的,高级的                
294 logical  adj.合乎逻辑的,合理的                
295 longevity  n.长命,寿命，供职期限，资历                
296 loom  n.织布机,织机;v.隐现,迫近                
297 lounge  n.闲逛,休闲室,长沙发;vi.闲荡,懒洋洋地躺卧;vt.虚度光阴                
298 loyal  adj.忠诚的,忠心的                
299 loyalty  n.忠诚,忠心                
300 lubricate  vt.润滑;v.加润滑油                
301 luggage  n.行李,皮箱                
302 luminous  adj.发光的,明亮的                
303 lunar  adj.月的,月亮的                
304 lure  v.引诱                
305 luxury  n.奢侈,华贵                
306 machinery  n.[总称]机器,机械                
307 magistrate  n.文职官员,地方官员                
308 magnet  n.磁体,磁铁                
309 magnetic  adj.磁的,有磁性的,有吸引力的                
310 magnificent  adj.华丽的,高尚的,宏伟的                
311 magnify  vt.放大,扩大,赞美,夸大,夸张;vi.有放大能力                
312 magnitude  n.大小,数量,巨大,广大,量级                
313 maintain  vt.维持,维修,继续,供养,主张                
314 majesty  n.最高权威,王权,雄伟                
315 majority  n.多数,大半;n.[律]成年                
316 mall  n.购物商场,商业街,林荫路                
317 management  n.经营,管理,处理,操纵,驾驶,手段                
318 maneuver  v.机动;n.机动                
319 manifest  n.载货单,旅客名单;adj.显然的,明白的;vi.出现;vt.表明,证明                
320 manipulate  vt.(熟练地)操作,使用(机器等),操纵(人或市价,市场),利用,应付,假造;vt.(熟练地)操作,巧妙地处理          
321 mansion  n.大厦,官邸,公寓(用复数,用于专有名词中)                
322 manual  n.手册,指南;adj.手的,手动的,手工的,体力的,手册(性质)的,[律]实际占有的              
323 manufacture  vt.制造,加工;n.制造,制造业,产品                
324 manufacturer  n.制造业者,厂商                
325 manuscript  n.手稿,原稿                
326 marble  n.大理石,(玩具)弹球.石弹子,雕刻品;adj.大理石的,冷酷无情的,坚硬的              
327 margin  n.页边的空白,(湖、池等的)边缘,极限,利润,差数,(时间、金额等的)富余;vt.加边于,加旁注于            
328 marginal  adj.记在页边的,边缘的,边际的                
329 marsh  n.湿地,沼泽,沼泽地                
330 marshal  n.元帅,典礼官,执行官,司仪官;vt.整顿,配置,汇集;vi.排列,集合                
331 masculine  adj.男性的,男子气概的,[语法]阳性的;n.男子,男孩                
332 mask  n.面具,掩饰,石膏面像;vt.戴面具,掩饰,使模糊;vi.化装,戴面具,掩饰,参加化装舞会            
333 mass  n.块,大多数,质量,群众,大量;adj.群众的,大规模的,集中的;vt.使集合;vi.聚集              
334 massacre  n.残杀,大屠杀;v.残杀,集体屠杀                
335 massive  adj.厚重的,大块的,魁伟的,结实的                
336 masterpiece  n.杰作,名著                
337 mature  adj.成熟的,到期的,充分考虑的,(票据等)到期的;vt.使成熟;vi.成熟,到期              
338 maximum  n.最大量,最大限度,极大;adj.最高的,最多的,最大极限的                
339 meadow  n.草地,牧场                
340 mechanical  adj.机械的,机械制的,机械似的,呆板的                
341 mediate  v.仲裁,调停,作为引起...的媒介,居中调停                
342 medieval  adj.中世纪的,仿中世纪的,老式的,<贬>原始的                
343 medium  n.媒体,方法,媒介;adj.中间的,中等的,半生熟的                
344 melody  n.悦耳的音调                
345 melt  v.(使)融化,(使)熔化,使软化,使感动                
346 memorize  v.[亦作memorise]记住,记忆                
347 menace  n.威胁,危险物;v.恐吓,危及,威胁                
348 mental  adj.精神的,智力的                
349 mercury  n.水银,汞,[罗神]墨丘利神(众神的信使)                
350 mere  adj.仅仅的,起码的,纯粹的                
351 merely  adv.仅仅,只,不过                
352 merge  v.合并,并入,结合,吞没,融合                
353 merit  n.优点,价值;v.有益于                
354 messenger  n.报信者,使者                
355 metallic  adj.金属(性)的                
356 metropolitan  adj.首都的,主要都市的,大城市                
357 midst  n.中间;prep.在...中间                
358 migrant  n.候鸟,移居者                
359 migrate  vi.移动,移往,移植,随季节而移居,(鸟类的)迁徙;vt.使移居,使移植                
360 mild  adj.温和的,温柔的,淡味的,轻微的,适度的,不含有害物质的的                
361 militant  adj.好战的,积极从事或支持使用武力的                
362 military  adj.军事的,军用的                
363 millionaire  n.百万富翁,大富豪                
364 mingle  v.(使)混合                
365 miniature  n.缩小的模型,缩图,缩影;adj.微型的,缩小的                
366 minibus  n.中客车,小型公共汽车(我国俗称面包车,乘员10人左右)                
367 minimal  adj.最小的,最小限度的                
368 minimize  vt.将...减到最少;v.最小化                
369 minimum  adj.最小的,最低的;n.最小值,最小化                
370 minority  n.少数,少数民族                
371 misery  n.痛苦,苦恼,悲惨,不幸,穷困                
372 misfortune  n.不幸,灾祸                
373 mission  n.使命,任务,使团,代表团                
374 missionary  adj.传教的,传教士的;n.传教士                
375 mistress  n.主妇,女主人,女能人,情妇                
376 moan  n.呻吟,哀悼,呼啸;vi.发出呻吟声,抱怨,哀悼;vt.呻吟                
377 mob  n.(集合词)暴徒,乌合之众,(盗贼等的)一群;v.成群暴动,聚众滋扰                
378 mobile  adj.可移动的,易变的,机动的;n.运动物体                
379 mobilize  v.动员                
380 mock  v.嘲笑,骗,挫败,嘲弄;adj.假的;n.嘲弄,模仿,仿制品                
381 modest  adj.谦虚的,谦让的,适度的                
382 modify  vt.更改,修改;v.修改                
383 module  n.模数,模块,登月舱,指令舱                
384 molecule  n.[化]分子,些微                
385 momentum  n.动力,要素                
386 monetary  adj.货币的,金钱的                
387 monitor  n.班长,监听器,监视器,监控器;vt.监控;v.监控                
388 monopoly  n.垄断,垄断者,专利权,专利事业                
389 moral  n.怪物,妖怪                
390 monster  adj.道德(上)的,精神的;n.道德                
391 morality  adj.道德的;n.道德                
392 moreover  adv.而且,此外                
393 mortal  n.凡人,人类;adj.必死的,致命的,人类的,临终的;adj.<口>极端的,非常大(长)的              
394 mortgage  n.抵押;v.抵押                
395 motel  n.汽车旅馆                
396 motivate  v.激发                
397 motive  n.动机,目的;adj.发动的,运动的                
398 mourn  v.哀悼,忧伤,服丧                
399 muddy  adj.多泥的,泥泞的                
400 multiple  adj.多样的,多重的;n.倍数,若干;v.成倍增加                
401 multiply  v.繁殖,乘,增加                
402 multitude  n.多数,群众                
403 municipal  adj.市政的,市立的,地方性的,地方自治的                
404 murmur  n.低沉连续的声音,咕哝,怨言,低语;v.发低沉连续的声音,发怨言,低声说,低语              
405 muscular  adj.肌肉的,强健的                
406 mute  n.哑巴,哑音字母,[律]拒不答辩的被告,弱音器;adj.哑的,无声的,沉默的;vt.减弱...的声音;vi.排泄          
407 mutter  n.咕哝,嘀咕;v.咕哝,嘀咕                
408 mutual  adj.相互的,共有的                
409 myth  n.神话,神话式的人物(或事物),虚构的故事,荒诞的说法                
410 naive  adj.天真的                
411 napkin  n.餐巾,餐巾纸,<英>尿布,<美>月经带                
412 narrative  adj.叙述性的;n.叙述                
413 nasty  adj.污秽的,肮脏的,令人厌恶的,淫秽的,下流的,凶相的,威胁的                
414 navigation  n.航海,航空,导航,领航,航行                
415 necessitate  v.成为必要                
416 negative  n.否定,负数,底片;adj.否定的,消极的,负的,阴性的;vt.否定,拒绝(接受)              
417 neglect  vt.忽视,疏忽,漏做;n.忽视,疏忽,漏做                
418 negligible  adj.可以忽略的,不予重视的                
419 negotiate  v.(与某人)商议,谈判,磋商,,买卖,让渡(支票、债券等),通过,越过                
420 neutral  n.中立者,中立国,非彩色,齿轮的空档;adj.中立的,中立国的,中性的,无确定性质的,(颜色等)不确定的          
421 nickel  n.[化]镍,镍币,(美国和加拿大的)五分镍币;vt.镀镍于                
422 nickname  n.诨号,绰号,昵称;vt.给...取绰号,给...起浑名                
423 nil  n.零                
424 nominal  adj.名义上的,有名无实的,名字的,[语]名词性的;n.名词性词                
425 nominate  vt.提名,推荐,任命,命名                
426 nonetheless  adv.虽然如此,但是                
427 norm  n.标准,规范                
428 notable  adj.值得注意的,显著的,著名的                
429 notation  n.符号                
430 notify  v.通报                
431 notion  n.概念,观念,想法,意见,打算,主张,(复数)<美语>小饰物                
432 notorious  adj.声名狼籍的                
433 notwithstandi  prep.虽然,尽管;adv.尽管,还是;conj.虽然,尽管                
434 nourish  vt.滋养,使健壮,怀有(希望,仇恨等)                
435 novelty  n.新颖,新奇,新鲜,新奇的事物                
436 numerical  adj.数字的,用数表示的;adj.数字的,用数字表示的                
437 numerous  adj.众多的,许多的,无数的                
438 nurture  n.养育,教育,教养,营养品;vt.养育,给与营养物,教养                
439 nutrition  n.营养,营养学                
440 oak  n.[植]橡树,橡木;adj.橡木制的                
441 oath  n.誓言,宣誓,诅咒                
442 obedient  adj.服从的,孝顺的                
443 object  n.物体,目标,宾语,对象;vi.反对,拒绝,抗议;vt.提出...来反对                
444 objection  n.异议,缺陷,妨碍,拒绝之理由                
445 objective  n.目标,目的,(显微镜的)(接)物镜,[语法]宾格;adj.客观的,[语法]宾格的              
446 obligation  n.义务,职责,债务                
447 obscene  adj.淫秽的,猥亵的                
448 obscure  adj.暗的,朦胧的,模糊的,晦涩的;vt.使暗,使不明显                
449 obstacle  n.障碍,妨害物                
450 obtain  vt.获得,得到                
451 occasional  adj.偶然的,非经常的,特殊场合的,临时的                
452 occupation  n.职业,占有,占有(房屋等)期间                
453 occupy  vt.占,占用,占领,占据                
454 occur  vi.发生,出现                
455 odor  n.气味,名声                
456 offense  n.进攻                
457 offensive  adj.讨厌的,无礼的,攻击性的;n.进攻,攻势                
458 offset  n.偏移量,抵销,弥补,分支,平版印刷,胶印;vt.弥补,抵销,用平版印刷;vi.偏移,形成分支            
459 offspring  n.(单复数同形)儿女,子孙,后代,产物                
460 olive  n.橄榄树,橄榄叶,橄榄枝,橄榄色                
461 opaque  n.不透明物;adj.不透明的,不传热的,迟钝的                
462 opponent  adj.对立的,对抗的;n.对手,反对者                
463 oppose  vt.反对,使对立,使对抗,抗争;vi.反对                
464 oppress  vt.压迫,压抑                
465 optical  adj.眼的,视力的,光学的                
466 optimism  n.乐观,乐观主义                
467 optimistic  adj.乐观的                
468 optimum  n.最适宜;adj.最适宜的                
469 option  n.选项,选择权,[经]买卖的特权                
470 orbit  n.轨道,势力范围,生活常规,眼眶;vt.绕...轨道而行;vi.进入轨道,沿轨道飞行,盘旋              
471 orchestra  n.管弦乐队,乐队演奏处                
472 ore  n.矿石,含有金属的岩石                
473 orient  n.东方,东方诸国(地中海以东各国);adj.东方的,上升的,灿烂的;vi.适应形势,向东;vt.使朝东,使适应,确定方向          
474 oriental  n.东方人(尤指中国人和日本人);adj.东方诸国的,亚洲的,东方的,(珍珠等)最优质的              
475 orientation  n.方向,方位,定位,倾向性,向东方                
476 origin  n.起源,由来,起因,出身,血统,[数]原点                
477 original  adj.最初的,原始的,独创的,新颖的;n.原物,原作                
478 originate  vt.引起,发明,发起,创办;vi.起源,发生                
