1 qualitative  adj.性质上的,定性的                
215 shed  vt.流出,发散,散发,脱落,脱皮,摆脱;n.分水岭,棚,小屋,工棚,货棚;v.把...放入棚内,流下            
216 sheer  adj.全然的,纯粹的,绝对的,彻底的,透明的;vi.避开,躲避,偏航;vt.使避开,使偏航;adv.完全,全然,峻峭;n.偏航          
217 shepherd  n.牧羊人,牧羊狗;v.牧羊,看管,带领                
218 shield  n.防护物,护罩,盾,盾状物;vt.(from)保护,防护;v.遮蔽                
219 shipment  n.装船,出货                
220 shove  n.<口>推,挤;vt.<口>推挤,猛推,强使;vi.推                
221 shrewd  adj.精明                
222 shrink  v.收缩,(使)皱缩,缩短                
223 shrub  n.灌木,灌木丛                
224 shutter  n.耸肩;v.耸肩                
225 shrug  n.关闭者,百叶窗,快门,<美俚>安眠药;vt.关上,装以遮门,以百叶窗遮闭              
226 shuttle  n.往返汽车(列车、飞机),航天飞机,梭子,穿梭;v.穿梭往返                
227 siege  n.包围,围城,长期努力,不断袭击,围攻;v.包围,围攻                
228 sieve  n.筛,滤网,不会保密的人;v.筛,过滤                
229 signal  n.信号;adj.信号的;v.发信号,用信号通知                
230 significant  adj.有意义的,重大的,重要的                
231 signify  vt.表示,意味;vi.要紧,有重要性;v.颇为重要,表示                
232 silicon  n.[化]硅,硅元素                
233 similar  adj.相似的,类似的                
234 simulate  vt.模拟,模仿,假装,冒充                
235 simultaneous  adj.同时的,同时发生的                
236 sip  v.吸吮                
237 situated  adj.位于,被置于境遇,处于...的立场                
238 skeleton  n.(动物之)骨架,骨骼,基干,纲要,万能钥匙                
239 skeptical  adj.怀疑性的,好怀疑的,<口>无神论的                
240 skip  v.跳,蹦,急速改变,跳读,遗漏,跳跃;n.跳跃                
241 skull  n.头脑,头骨                
242 slack  n.松弛,静止,淡季,闲散;adj.松弛的,不流畅的,疏忽的,软弱的,漏水的,呆滞的,懒散的;adv.马虎地,缓慢地;vt.使松弛,使缓慢,马虎从事;vi.松懈,减弱,松驰    
243 slap  vt.拍,掌击,拍击;n.拍,掌击,拍击                
244 slash  v.猛砍,鞭打,砍伤,大量削减,严历批评,抽打;n.猛砍,(大幅度)削减,斜线              
245 slaughter  n.屠宰,残杀,屠杀;v.屠宰,残杀,屠杀                
246 slice  n.薄片,切片,一份,部分,片段;v.切(片)                
247 slick  adj.光滑的,熟练的,聪明的,华而不实的,陈腐的,平凡的;adv.灵活地,聪明地;vt.使光滑,使漂亮;n.平滑水面,平滑器,修光工具;vi.打扮整洁      
248 slide  v.(使)滑动,(使)滑行;n.滑,滑动,幻灯片                
249 slight  adj.轻微的,微小的                
250 slip  n.滑倒,事故,片,纸片;vi.滑动,滑倒,失足,减退;vt.使滑动,滑过,摆脱,闪开,塞入;adj.滑动的,活络的,有活结的;abbr.SerialLineInterfaceProtocol,串行线路接口协议,是旧式的协议
251 slippery  adj.滑的,光滑的                
252 slogan  n.口号,标语                
253 slope  n.斜坡,斜面,倾斜;v.(使)顺斜                
254 slot  n.缝,狭槽,位置,水沟,细长的孔,硬币投币口,狭通道,足迹;vt.开槽于,跟踪              
255 slum  n.贫民窟;vi.访问贫民区                
256 slump  n.消沉,衰退,(物价)暴跌;v.失败,消沉,(物价)暴跌,跌落                
257 smash  v.打碎,粉碎;n.打碎,粉碎;adj.出色的                
258 smuggle  n.走私,偷带;v.走私                
259 snack  n.小吃,快餐,一份;v.吃快餐(小吃)                
260 snatch  v.攫取;n.攫取                
261 sneak  vi.鬼鬼祟祟做事;vt.偷偷摸摸做,<口>偷窃;n.鬼鬼祟祟人,偷偷摸摸行为,<美口>帆布胶底运动鞋;adj.暗中进行的          
262 sniff  v.用力吸,嗅,闻到,发觉,轻视,用力吸气;n.吸,闻,吸气声,嗤之以鼻                
263 soar  v.高飞,高丛,滑翔,剧增,昂扬;n.高飞范围,高涨程度                
264 sober  adj.冷静的;v.镇定                
265 sociology  n.社会学                
266 solemn  adj.庄严的,隆重的,严肃的                
267 solicitor  n.律师,法律顾问                
268 solidarity  n.团结                
269 solitary  adj.孤独的                
270 solo  n.独奏曲;adj.单独的                
271 soluble  adj.可溶的,可溶解的                
272 solution  n.解答,解决办法,溶解,溶液,解决方案                
273 sophisticated  adj.诡辩的,久经世故的                
274 sour  adj.酸的,发酵的,酸腐的,酸味的                
275 sovereign  n.君主,统治;adj.至高无上的,君主的,独立自主的,完全的                
276 spacious  adj.广大的,大规模的                
277 span  n.跨度,跨距,范围;v.横越                
278 sparkle  v.发火花,(使)闪耀,(香槟酒等)发泡,用眼神表达,发光闪烁;n.火花,闪光,光彩,活力,发泡            
279 specialist  n.专门医师,专家                
280 specialty  n.专业                
281 species  n.种类,(原)核素;n.[律]式样;n.[宗]圣餐物                
282 specific  n.特效药,细节;adj.详细而精确的,明确的,特殊的,特效的,[生物]种的              
283 specification  n.详述,规格,说明书,规范                
284 spectacle  n.观览物,展览物,公开展示,奇观,景象,光景,(apairof～s)眼镜                
285 spectator  n.观众(指比赛或表演)                
286 spectrum  n.光,光谱,型谱,频谱                
287 speculate  vi.推测,思索,做投机买卖                
288 spice  n.香料,调味品,趣味,意味,情趣                
289 spine  n.脊骨,书脊,地面隆起地带,中心,剌                
290 spiral  adj.螺旋形的;n.螺旋;v.盘旋                
291 spite  n.(in～of)不顾,不管,敌意;v.困扰                
292 splash  n.溅,飞溅,斑点;v.溅,泼,溅湿                
293 spoil  vt.损坏,搞糟,宠坏,溺爱;v.扰乱                
294 sponge  n.海绵,(外科用的)棉球,纱布;v.用海绵冼涤,揩拭,清除,用海绵吸收(液体),(俗)依赖某人生活,诈取某人,海绵般吸收          
295 spontaneous  adj.自发的,自然产生的                
296 spouse  n.配偶(指夫或妻)                
297 sprinkle  v.撒(某物)于(某物之表面),洒,喷撒                
298 spy  n.特工人员,间谍,侦探,探员,秘密侦察他人行动者;v.侦察,侦察,发现              
299 squad  n.班                
300 stab  n.刺,刺伤的伤口,一阵突然而强烈的感觉,中伤,伤痛;v.剌,刺伤,伤害(感情等)              
301 stability  n.稳定性                
302 stabilize  v.稳定                
303 stable  adj.稳定的                
304 stack  n.堆,一堆,堆栈;v.堆叠                
305 stagger  v.摇晃,蹒跚,交错,摇摇摆摆;adj.交错的                
306 staircase  n.楼梯                
307 stalk  n.茎,柄,梗,秆                
308 stall  n.货摊,畜栏,厩,出售摊;v.(使)停转,(使)停止,迟延                
309 standpoint  n.立场,观点                
310 staple  n.钉书钉,钉,主要产品(或商品),原材料,主要成分,来源;adj.主要的,常用的,大宗生产的;v.把...分类,把...分级          
311 startle  v.震惊                
312 statement  n.声明,陈述,综述                
313 statesman  n.政治家                
314 stationary  固定的                
315 status  n.身份,地位,情形,状况                
316 stereo  n.立体声系统,立体声,[印]铅版,立体照片;adj.立体的,立体感觉的                
317 stereotype  n.[印]铅版,陈腔滥调,老套;vt.使用铅版,套用老套,使一成不变                
318 stern  adj.严厉的,苛刻的;n.船尾                
319 sticky  adj.粘的,粘性的                
320 stimulus  n.刺激物,促进因素,刺激,刺激                
321 stock  n.树干,库存,股票,股份,托盘,祖先,原料;adj.股票的,普通的,常备的,存货的,繁殖用的;vt.装把手于,进货,备有,放牧;vi.出新芽,采购      
322 straightforwa  adj.正直的,坦率的,简单的,易懂的,直接了当的;adv.坦率地                
323 strain  n.过度的疲劳,紧张,张力,应变;vt.扭伤,损伤;v.拉紧,扯紧,(使)紧张,尽力              
324 strand  n.绳、线之一股,线,绳,串,海滨,河岸;vi.搁浅;vt.使搁浅,使落后,使陷于困境,弄断,搓            
325 strategy  n.策略,军略                
326 stray  v.迷路,偏离,漂泊,漂泊游荡;adj.迷路的,离群的,偶遇的                
327 streak  v.飞跑,加上条纹                
328 stream  n.溪,川,流,一股,一串,河流;v.流,涌,流注                
329 streamline  adj.流线型的                
330 stride  v.大步走(过),跨过,大步行走;n.步幅                
331 string  n.线,细绳,一串,一行;v.排成一列                
332 strive  v.努力,奋斗,力争,斗争                
333 stroke  n.击,敲,报时的钟声,(网球等)一击,(划船等)一划,(绘画等)一笔,一次努力,打击;vt.抚摸            
334 stroll  n.漫步,闲逛,四处流浪;v.闲逛,漫步,跋涉于                
335 stubborn  adj.顽固的,固执的,坚定的,坚决的,难应付的,难处理的                
336 stumble  v.绊倒,使困惑,蹒跚,结结巴巴地说话,踌躇;n.绊倒,错误                
337 stump  n.树桩,残余,烟头;v.掘去树桩,砍成树桩,绊倒,难住,截去                
338 stun  vt.使晕倒,使惊吓,打晕;n.晕眩,打昏,惊倒                
339 sturdy  adj.强健的,坚定的,毫不含糊的;n.[兽医]家畜晕倒病                
340 subjective  adj.主观的,个人的                
341 submarine  n.潜水艇,潜艇;adj.水下的,海底的                
342 submit  v.(使)服从,(使)顺从;vt.提交,递交                
343 subordinate  adj.次要的,从属的,下级的;n.下属;v.服从                
344 subscribe  v.捐款,订阅,签署(文件),赞成,预订                
345 subsequent  adj.后来的,并发的                
346 subsidiary  adj.辅助的,补充的                
347 subsidy  n.补助金,津贴                
348 substance  n.物质,实质,主旨                
349 substantial  adj.坚固的,实质的,真实的,充实的                
350 substitute  n.代用品,代替者,替代品;v.代替,替换,替代                
351 subtle  adj.狡猾的,敏感的,微妙的,精细的,稀薄的                
352 subtract  v.(～from)减去,减                
353 suburb  n.市郊,郊区                
354 successive  adj.继承的,连续的                
355 successor  n.继承者,接任者,后续的事物                
356 sue  vt.控告,向...请求,请愿;vi.提出诉讼,提出请求                
357 suffice  vi.足够,有能力;vt.使满足                
358 sufficient  adj.充分的,足够的                
359 suite  n.(一批)随员,(一套)家具,套房,套,组,组曲                
360 sulfur  n.[化]硫磺,硫黄;vt.用硫磺处理                
361 summit  n.顶点,最高阶层;adj.政府首脑的;vi.参加最高级会议的                
362 summon  v.召集,召唤,号召,鼓起,振作                
363 superficial  adj.表面的,肤浅的,浅薄的                
364 superintenden  n.主管,负责人,指挥者,管理者                
365 superior  n.长者,高手,上级;adj.较高的,上级的,上好的,出众的,高傲的                
366 superiority  n.优越,高傲                
367 supersonic  adj.超音波的;n.超声波,超声频                
368 supervise  v.监督,管理,指导                
369 supplement  n.补遗,补充,附录,增刊;v.补充                
370 supplementary  n.(supplementaries)增补者,增补物;adj.附助的                
371 suppress  vt.镇压,抑制,查禁,使止住                
372 supreme  adj.极度的,极大的,至高的,最高的                
373 surge  n.巨涌,汹涌,澎湃;vi.汹涌,澎湃,振荡,滑脱,放松;vt.使汹涌奔腾,急放              
374 surgeon  n.外科医生                
375 surgery  n.外科,外科学,手术室,诊疗室                
376 surpass  vt.超越,胜过                
377 surplus  n.剩余,过剩,[会计]盈余;adj.过剩的,剩余的;vt.转让,卖掉                
378 survival  n.生存,幸存,残存,幸存者,残存物                
379 survive  v.幸免于,幸存,生还                
380 susceptible  adj.易受影响的,易感动的,容许...的;n.(因缺乏免疫力而)易得病的人              
381 suspension  n.吊,悬浮,悬浮液,暂停,中止,悬而未决,延迟                
382 suspicion  n.猜疑,怀疑                
383 suspicious  adj.(～of)可疑的,怀疑的                
384 sustain  vt.支撑,撑住,维持,持续                
385 swamp  n.沼泽,湿地,煤层聚水;v.陷入沼泽,淹没,覆没                
386 swap  v.交换;n.交换                
387 symbol  n.符号,记号,象征                
388 symmetry  n.对称,匀称                
389 sympathetic  adj.有同情心的,合意的,赞成的;n.[解]交感神经,容易感受的人                
390 sympathy  n.同情,同情心                
391 symphony  n.交响乐,交响曲                
392 symposium  n.讨论会,座谈会                
393 syndrome  n.综合病症                
394 synthesis  n.综合,合成                
395 tack  n.大头钉,粗缝,行动方针,食物;vt.以大头针钉住,附加;vi.抢风航行,作文字形移动              
396 tackle  n.工具,复滑车,滑车,辘轱,用具,装备,扭倒;vt.固定,应付(难事等),处理,解决,抓住;vi.捉住,扭住,扭倒          
397 tame  adj.(动物)驯服的,柔顺的,(人)没精打彩的,顺从的,被开垦的,沉闷的,乏味的,平淡的;vt.驯养,驯服,制服,使变得平淡;vi.变得驯服        
398 tan  n.日晒后的颜色,棕褐色,茶色;adj.棕褐色的,茶色;v.晒黑,晒成褐色                
399 tangle  n.混乱状态;v.处于混乱状态                
400 tanker  n.油轮                
401 target  n.目标,对象,靶子                
402 tariff  n.关税,关税表,税则,(旅馆,饭店等的)价目表、价格表;vt.课以关税                
403 tease  n.揶揄,戏弄,逗惹;vt.取笑,逗恼,奚落,欺负,嘲弄,取笑,强求,梳理                
404 tedious  adj.单调乏味的,沉闷的,冗长乏味的                
405 telecommunica  n.电讯,长途通讯,无线电通讯,电信学                
406 temper  n.(钢等)韧度,回火,性情,脾气,情绪,心情,调剂,趋向;v.(冶金)回火、锻炼,调和,调节            
407 temperament  n.气质,性情,易激动,急躁                
408 tempo  n.(音乐)速度、拍子,发展速度                
409 tempt  vt.诱惑,引诱,吸引,使感兴趣,考验,试探                
410 tenant  n.承租人,房客,租客;v.出租                
411 tendency  n.趋向,倾向                
412 tentative  n.试验,假设;adj.试验性的,试探的,尝试的,暂定的                
413 terminate  v.停止,结束,终止                
414 terrace  n.梯田的一层,梯田,房屋之平顶,露台,阳台,倾斜的平地;adj.(女服)叠层式的;vt.使成梯形地,使有平台屋顶          
415 terrain  n.地形                
416 terrific  adj.令人恐怖的                
417 terrify  vt.使恐怖,恐吓                
418 territory  n.领土,版图,地域                
419 testify  v.证明,证实,作证                
420 testimony  n.证词(尤指在法庭所作的),宣言,陈述                
421 texture  n.(织品的)质地,(木材,岩石等的)纹理,(皮肤)肌理,(文艺作品)结构                
422 thanksgiving  n.感谢,[宗]感恩祈祷                
423 theft  n.偷,行窃,偷窃的事例,偷窃行为                
424 theme  n.(谈话,写作等的)题目,主题,学生的作文,作文题,[音乐]主题,主题曲,主旋律              
425 thereafter  adv.其后,从那时以后                
